Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2010-01-04,111.35,347.15,178.5538,198.42,866.025,66.6702,353.1467,105.866,325.2,166.855,337.55,335.425,1142.15,67.565,355.101,92.059,170.57,1712.95,163.5,264.7,534.87,159.9455,84.0794,142.85,324.0133,102.295,205.725,751.7341,282.347,1551.45,177.601,2494.65,395.8169,84.3,537.75,1950.22,229.12,150.735,370.0557,94.925,163.5358,603.7971,505.4137,142.15,116.2339,966.1,137.183
2010-01-05,115.19,366.375,179.1178,202.56,870.025,66.2232,353.9327,104.2717,330.35,167.105,331.5,334.9,1177.45,65.31,366.8326,94.1304,170.72,1717.4,175.2,263.85,536.69,161.4637,84.9081,142.7,325.0985,113.49,207.7625,753.0674,287.5448,1515.85,175.6477,2498.95,402.7502,84.5625,535.35,2032.355,229.205,155.265,370.1542,102.285,160.6863,618.4216,511.8857,145.065,121.9339,986.1,139.3482
2010-01-06,120.9,353.925,178.5787,199.16,856.575,67.1754,345.5817,102.7018,326.85,165.585,344.9,343.9,1207.65,64.765,382.0187,91.2899,170.835,1695.4,171.05,265.35,539.27,162.7,85.107,146.1,320.3548,114.895,210.2875,744.7341,294.442,1461.65,174.8051,2502.85,407.8335,85.1625,544,2106.043,230.58,157.28,361.7847,103.885,160.9337,611.7048,514.4054,147.4,119.7673,987.3,136.5305
2010-01-07,119.47,356.925,176.7569,200.57,841.55,66.7673,342.8799,100.7089,329.4,164.905,342.05,354.95,1188.95,63.86,373.302,89.3426,171.28,1653.2,175.15,264.8,529.23,161.1637,84.8418,142.8,313.1554,112.445,212.65,741.1563,288.8318,1453.3,174.8434,2489.35,408.2669,85.9125,553.025,2238.612,229.29,154.885,351.7166,104.25,155.4327,619.0885,503.0916,151.065,118.6339,978.35,134.1084
2010-01-08,119.33,355.725,179.6768,203.19,827.625,67.9818,343.8624,102.4171,325.05,165.27,341.1,345.975,1194.1,64.72,384.8591,87.2588,171.505,1645.2,173.3,265.95,520.01,158.9,85.0241,142.3,305.6089,111.805,211.3375,745.8452,288.8568,1433.15,177.0265,2568.2,405.2335,86.1375,551.575,2206.215,228.605,157.495,344.5287,104.77,156.2836,617.8023,516.3322,149.67,117.9006,990.3,132.0916
2010-01-11,123.39,355.225,179.3723,209.88,834.775,69.7015,345.3852,102.1487,328.95,165.23,342.3,344.325,1200.15,64.315,392.5778,88.127,170.815,1676.4,171.7,266.1,520.02,158.0727,85.0573,142.5,308.7651,114.265,212.15,745.4674,289.6815,1454.75,178.4436,2513.5,405.5002,86.175,540.75,2257.99,226.72,157.47,351.6182,105.36,156.3528,617.8499,513.0714,148.46,117.0339,991.55,130.7767
2010-01-12,125.24,351.475,184.0542,209.86,851.85,67.0782,337.0834,102.0917,322.25,166.64,339.65,341.675,1209.5,61.53,390.3306,91.2527,169.52,1644.75,167.85,262.15,511.93,153.2273,82.8861,139.95,320.8322,112.8,205.7625,746.3341,297.9281,1441,175.7243,2536.15,396.9835,84.9375,542.175,2170.737,220.32,157.18,369.268,102.95,155.591,595.9846,516.5545,148.08,112.6006,984.6,137.183
2010-01-13,129.97,355.475,185.5017,208.06,853.8,63.5417,333.4974,102.4578,318.4,166.035,341.85,348.225,1228.25,60.77,395.2228,93.7582,168.93,1625.75,171.15,262.5,508.78,152.8455,82.5215,137.2,332.8063,114.155,203.25,743.6452,288.282,1428.75,175.7243,2556.1,398.4335,86.2125,544.3,2192.749,217.59,154.78,388.2225,104.295,155.3239,609.0371,537.0823,146.93,114.6672,1032.4,141.4935
2010-01-14,127.84,356.35,187.8426,213.22,854.6,65.2419,334.1851,101.807,318.05,168.025,340.8,346.85,1237.1,60.795,396.7093,91.8109,168.38,1621.3,170.85,256.05,504.99,151.8727,82.2563,137.6,333.5815,118.21,206.1,741.5119,292.7927,1414.85,176.9499,2542.5,410.5835,88.0125,560.85,2244.425,215.735,155.95,383.9393,103.925,154.7698,617.0878,534.2909,151.73,112.7339,1044,146.5355
2010-01-15,129.81,348.35,186.8693,215.56,863.45,65.8735,337.5255,100.4324,317.4,169.37,350.2,344.5,1229.95,62.845,397.4351,91.6372,169.415,1625.35,166.6,256.4,504.3,153.1727,83.7811,141.75,331.8514,117.985,205.475,733.8674,289.1817,1413.45,177.9074,2526.2,403.2669,88.9875,555.375,2206.662,214.335,152.51,389.6256,103.855,157.7479,614.6583,561.8095,151.565,111.1672,1036.95,145.5074
