Date,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2015-01-01,319,1131,749.7931,502.65,2431,696.79,1309.9,211.13,354.4,919.275,626.5,867.4,3230,1501.1,555.3982,399.75,475.5,3111,157.4,759.3,1130,320.6364,243.7027,803.4,488.3764,104.89,631.9,995.8672,619,3320.25,110.4596,6265,226.8334,103.5,443.15,9347.034,312.45,826.5,1283.5,150.95,489.2519,378.3319,1279.0967,381.3,230.8012,2678.9,207.2062
2015-01-02,319.35,1125.05,749.9428,503.2,2457,698,1291.7,211.7808,363.8,921,633,877,3220,1545,557.2147,400.5125,475.2,3115,158.9,757,1127.3,320,243.4707,816,489.1329,107.01,630.5,1001.0005,615.125,3360,109.1574,6275,229.4001,102.8625,444.05,9341.4192,314.35,824,1275.5,150.9,491.9727,386.8112,1278.1086,379.8,227.8345,2669.5,207.525
2015-01-05,320.45,1127.85,778.543,516.9,2452,693,1268.05,209.8611,366.25,944.5,626,876.375,3221.4,1502,572.7442,403.75,485,3104,161,759.75,1168.8,332.0909,244.432,818,498.5336,106.915,636.05,1030.2338,610.05,3382,110.7277,6370,231.3334,103.875,442.5,9241.5455,316.25,826.1,1290.5,151.65,504.6863,393.4804,1284.5313,384,233.3345,2748,208.8937
2015-01-06,321.65,1129.55,773.6515,513.55,2454.3,690,1250,212.2688,356.1,942.5,631,865,3130,1500,570.6169,393.5,477,3098,156.3,767,1148.6,326.7273,244.3989,816,491.1172,105.41,627.5,1027.3338,607.5,3439,109.9234,6420,232.3668,103.5375,435,9256.9489,310,823,1264.55,151.95,508.8912,394.4331,1262.3237,382.2,228.6345,2737.7,208.125
2015-01-07,321.95,1110,762.0717,498.8,2442,680.75,1230.25,207.2582,351.95,945.975,614.35,838.1,3075.1,1476,556.3801,384.875,469.85,3014,153.8,779,1097.5,314.1818,236.6754,800.1,487.3966,101.6,623.75,999.1672,606,3400,107.6254,6470,222.0001,101.25,418.55,9028.3823,300,809.1,1235,147.2,489.7466,378.9988,1257.3585,372.9,218.6011,2675,203.7
2015-01-08,326,1110.05,782.4362,506,2447.65,693.1,1230,211.1626,356.55,1005.05,615,830,3060,1496.3,561.2893,379.25,477.125,2978,150.7,803.9,1114,313.6364,235.6478,800,492.5062,102.5,650,1013.0005,615,3465,109.7702,6735,228.6334,103.5,430.05,9142.6656,305,815,1221.2,149.9,498.651,375.3784,1248.9597,380,217.3678,2675,208.5562
2015-01-09,339.9,1134.3,827.0085,504.9,2455,696.2,1293.95,222.5504,362.5,988,624,830,3095,1492.545,561.2893,384.1625,486.45,2998.85,153.1,818.5,1127,318.1364,240.7194,804,491.142,102.7,677.2,1014.6672,621.4,3500,111.1874,6869.2,231.4001,103.725,424.2,9127.7591,306.7,820,1227.5,154.5,515.718,383.0003,1268.7217,376,223.2678,2760,205.95
2015-01-12,332.15,1126,811.6353,495,2385,690.01,1255,222.8758,355.7,977,630.9,856.5,3153,1465.2,557.9347,388.775,484.7,2988,155.2,867.5,1114.35,311.5909,236.9737,804.95,518.8976,101.005,680.475,1002.6005,617.15,3470,108.0084,6762,234.7001,103.2,430.25,9058.1953,304.15,832.45,1258.5,156.35,512.9972,380.6184,1332.4542,373.25,221.8678,2727.7,206.25
2015-01-13,330.2,1119,811.5854,504,2340,688.02,1275,221.3791,349.9,974,631,852.5,3210,1489.995,567.344,393.8875,484.475,2951,152.1,899.95,1134.4,317.2728,237.6035,845,522.8166,100.595,686,1029.9672,615,3483.8,106.6679,7005,232.0001,102.4125,426.5,9173.5221,308.15,837.05,1260,157.55,514.8275,378.2366,1365.5556,375.85,221.3344,2735,208.9125
2015-01-14,324,1154.4,838.5384,504.5,2318.3,699.97,1280,219.9312,346.95,975.5,638.8,860,3205,1476.5,580.1081,398.975,480.025,2909,150.95,888.8,1128.7,308.4091,238.4654,831.7,520.5098,99.5,697.05,1015.0005,622.65,3471.85,107.0126,7073,226.6668,101.85,421.5,9231.3097,304,831,1258,155.05,515.9653,372.9489,1365.5556,373.05,230.5345,2829,212.25
