2016-01-01,APOLLOHOSP,SUNPHARMA,GRASIM,INDUSINDBK,ONGC,HDFC
2016-01-04,INFY,NESTLEIND,HDFCBANK,SBIN,HINDALCO,RELIANCE
2016-01-05,HDFC,POWERGRID,INFY,TCS,BPCL,CIPLA
2016-01-06,POWERGRID,APOLLOHOSP,HINDALCO,TCS,M&M,HEROMOTOCO
2016-01-07,JSWSTEEL,ONGC,SBIN,TCS,APOLLOHOSP,RELIANCE
2016-01-08,MARUTI,CIPLA,HINDALCO,HDFC,NESTLEIND,M&M
2016-01-11,NESTLEIND,MARUTI,TATASTEEL,BAJFINANCE,POWERGRID,RELIANCE
2016-01-12,M&M,INFY,HDFC,HINDALCO,GRASIM,TATASTEEL
2016-01-13,WIPRO,TATASTEEL,APOLLOHOSP,BRITANNIA,BAJFINANCE,HDFC
2016-01-14,POWERGRID,HINDALCO,RELIANCE,MARUTI,INDUSINDBK,INFY
2016-01-15,POWERGRID,INFY,HINDALCO,KOTAKBANK,BAJAJFINSV,ADANIPORTS
2016-01-18,AXISBANK,TCS,SBIN,HINDUNILVR,ADANIPORTS,ULTRACEMCO
2016-01-19,TCS,LT,DIVISLAB,CIPLA,HDFCBANK,BAJAJFINSV
2016-01-20,BAJAJ-AUTO,GRASIM,M&M,MARUTI,HCLTECH,INFY
2016-01-21,ULTRACEMCO,MARUTI,WIPRO,GRASIM,TATACONSUM,BAJAJ-AUTO
2016-01-22,MARUTI,TCS,SBIN,M&M,CIPLA,BRITANNIA
2016-01-25,HDFC,INFY,BRITANNIA,WIPRO,GRASIM,MARUTI
2016-01-27,GRASIM,BRITANNIA,CIPLA,INFY,MARUTI,HDFC
2016-01-28,TITAN,HDFCBANK,JSWSTEEL,HDFC,CIPLA,MARUTI
2016-01-29,JSWSTEEL,CIPLA,HDFCBANK,TCS,GRASIM,BPCL
2016-02-01,M&M,DRREDDY,JSWSTEEL,INFY,NESTLEIND,HINDALCO
2016-02-02,HDFCBANK,BHARTIARTL,BAJAJ-AUTO,DIVISLAB,UPL,ONGC
2016-02-03,UPL,TITAN,POWERGRID,M&M,HINDALCO,HDFCBANK
