2019-01-01,POWERGRID,APOLLOHOSP,TECHM,ASIANPAINT,HDFCBANK
2019-01-02,BAJFINANCE,LT,BAJAJFINSV,ICICIBANK,BRITANNIA
2019-01-03,HEROMOTOCO,POWERGRID,APOLLOHOSP,LT,DRREDDY
2019-01-04,ICICIBANK,SBIN,APOLLOHOSP,POWERGRID,HEROMOTOCO
2019-01-07,POWERGRID,KOTAKBANK,ASIANPAINT,HDFCBANK,BRITANNIA
2019-01-08,HEROMOTOCO,SBIN,KOTAKBANK,NESTLEIND,M&M
2019-01-09,POWERGRID,HDFCBANK,NESTLEIND,BHARTIARTL,UPL
2019-01-10,KOTAKBANK,POWERGRID,ASIANPAINT,HEROMOTOCO,SUNPHARMA
2019-01-11,POWERGRID,BAJFINANCE,SHREECEM,SBIN,TATASTEEL
2019-01-14,AXISBANK,HDFCBANK,POWERGRID,HEROMOTOCO,KOTAKBANK
2019-01-15,TITAN,HCLTECH,ASIANPAINT,HDFC,ICICIBANK
2019-01-16,DRREDDY,ICICIBANK,HEROMOTOCO,KOTAKBANK,TITAN
2019-01-17,ICICIBANK,TITAN,ULTRACEMCO,LT,ASIANPAINT
2019-01-18,TITAN,INFY,ICICIBANK,DRREDDY,ASIANPAINT
2019-01-21,TITAN,LT,AXISBANK,ULTRACEMCO,ASIANPAINT
2019-01-22,TITAN,ICICIBANK,AXISBANK,ADANIPORTS,BRITANNIA
2019-01-23,ULTRACEMCO,HDFCBANK,HEROMOTOCO,AXISBANK,ICICIBANK
2019-01-24,INDUSINDBK,TITAN,NTPC,HDFCBANK,HEROMOTOCO
2019-01-25,WIPRO,INDUSINDBK,AXISBANK,HDFCBANK,HEROMOTOCO
2019-01-28,INDUSINDBK,HEROMOTOCO,APOLLOHOSP,BRITANNIA,DRREDDY
2019-01-29,TITAN,BAJFINANCE,POWERGRID,NTPC,INDUSINDBK
2019-01-30,INDUSINDBK,NTPC,KOTAKBANK,TITAN,DRREDDY
2019-01-31,TITAN,INDUSINDBK,HDFC,DRREDDY,HEROMOTOCO
2019-02-01,BRITANNIA,NTPC,APOLLOHOSP,HEROMOTOCO,KOTAKBANK
2019-02-04,NTPC,KOTAKBANK,APOLLOHOSP,ITC,AXISBANK
2019-02-05,INDUSINDBK,WIPRO,ASIANPAINT,POWERGRID,BPCL
2019-02-06,NTPC,INDUSINDBK,ADANIPORTS,WIPRO,HDFCBANK
2019-02-07,KOTAKBANK,ADANIPORTS,HDFCBANK,HEROMOTOCO,WIPRO
2019-02-08,NTPC,BRITANNIA,WIPRO,ULTRACEMCO,BAJAJFINSV
2019-02-11,NTPC,WIPRO,HEROMOTOCO,HDFC,HDFCBANK
