2013-01-01,BAJAJ-AUTO,TECHM,SUNPHARMA,BAJAJFINSV,SHREECEM
2013-01-02,BRITANNIA,SUNPHARMA,TATAMOTORS,DRREDDY,MARUTI
2013-01-03,TECHM,BRITANNIA,HDFC,UPL,TATACONSUM
2013-01-04,UPL,ADANIPORTS,SBIN,AXISBANK,JSWSTEEL
2013-01-07,JSWSTEEL,UPL,AXISBANK,ICICIBANK,TECHM
2013-01-08,MARUTI,SUNPHARMA,BAJAJ-AUTO,TATASTEEL,UPL
2013-01-09,DRREDDY,ULTRACEMCO,HCLTECH,TATASTEEL,ITC
2013-01-10,SHREECEM,M&M,WIPRO,DRREDDY,TITAN
2013-01-11,HCLTECH,DRREDDY,ULTRACEMCO,ITC,MARUTI
2013-01-14,UPL,TATASTEEL,MARUTI,DRREDDY,BPCL
2013-01-15,SHREECEM,ULTRACEMCO,UPL,APOLLOHOSP,AXISBANK
2013-01-16,TATACONSUM,APOLLOHOSP,BAJAJFINSV,DRREDDY,RELIANCE
2013-01-17,BAJFINANCE,RELIANCE,DRREDDY,WIPRO,APOLLOHOSP
2013-01-18,BAJFINANCE,JSWSTEEL,DRREDDY,TATASTEEL,SHREECEM
2013-01-21,INFY,BPCL,ICICIBANK,SHREECEM,BAJFINANCE
2013-01-22,TECHM,SHREECEM,DRREDDY,INDUSINDBK,INFY
2013-01-23,ASIANPAINT,ULTRACEMCO,JSWSTEEL,DRREDDY,WIPRO
2013-01-24,SHREECEM,DRREDDY,JSWSTEEL,INFY,MARUTI
2013-01-25,DRREDDY,KOTAKBANK,INDUSINDBK,BHARTIARTL,TCS
2013-01-28,DRREDDY,INDUSINDBK,SHREECEM,MARUTI,ASIANPAINT
2013-01-29,WIPRO,BPCL,DRREDDY,ASIANPAINT,INFY
2013-01-30,INDUSINDBK,DRREDDY,TATASTEEL,INFY,ASIANPAINT
2013-01-31,MARUTI,TECHM,ADANIPORTS,TATASTEEL,KOTAKBANK
2013-02-01,HCLTECH,JSWSTEEL,ASIANPAINT,BHARTIARTL,ITC
2013-02-04,INFY,APOLLOHOSP,ASIANPAINT,RELIANCE,AXISBANK
2013-02-05,KOTAKBANK,TATASTEEL,ONGC,INFY,BPCL
2013-02-06,BHARTIARTL,ONGC,BPCL,MARUTI,TATACONSUM
2013-02-07,BHARTIARTL,INFY,TATASTEEL,ASIANPAINT,APOLLOHOSP
2013-02-08,ASIANPAINT,KOTAKBANK,TATASTEEL,ONGC,INFY
2013-02-11,CIPLA,KOTAKBANK,INFY,HDFCBANK,INDUSINDBK
2013-02-12,TECHM,INDUSINDBK,SUNPHARMA,TATASTEEL,APOLLOHOSP
2013-02-13,KOTAKBANK,TATASTEEL,SBIN,APOLLOHOSP,INFY
2013-02-14,TATASTEEL,HEROMOTOCO,HDFCBANK,APOLLOHOSP,INFY
2013-02-15,ADANIPORTS,HEROMOTOCO,INFY,KOTAKBANK,GRASIM
2013-02-18,SUNPHARMA,TATASTEEL,M&M,HEROMOTOCO,MARUTI
2013-02-19,SUNPHARMA,BHARTIARTL,HDFCBANK,TATASTEEL,ADANIPORTS
2013-02-20,TATASTEEL,ASIANPAINT,INFY,SHREECEM,INDUSINDBK
2013-02-21,TATASTEEL,HDFC,WIPRO,HEROMOTOCO,ASIANPAINT
2013-02-22,SUNPHARMA,BPCL,TATASTEEL,HCLTECH,EICHERMOT
2013-02-25,HCLTECH,TATASTEEL,TECHM,ONGC,INDUSINDBK
2013-02-26,TATASTEEL,HCLTECH,BAJAJ-AUTO,TECHM,EICHERMOT
2013-02-27,TCS,WIPRO,GRASIM,HINDUNILVR,NTPC
2013-02-28,HINDUNILVR,WIPRO,MARUTI,SUNPHARMA,TECHM
2013-03-01,TCS,HINDUNILVR,SUNPHARMA,MARUTI,HCLTECH
2013-03-04,HCLTECH,TATASTEEL,INDUSINDBK,WIPRO,APOLLOHOSP
2013-03-05,SUNPHARMA,TATASTEEL,NTPC,APOLLOHOSP,M&M
2013-03-06,TATASTEEL,SUNPHARMA,M&M,BRITANNIA,INDUSINDBK
2013-03-07,TECHM,BRITANNIA,SUNPHARMA,INDUSINDBK,HINDUNILVR
2013-03-08,EICHERMOT,APOLLOHOSP,SUNPHARMA,ONGC,BAJAJ-AUTO
2013-03-11,HINDUNILVR,BAJFINANCE,APOLLOHOSP,HCLTECH,TCS
2013-03-12,HINDUNILVR,SHREECEM,TATAMOTORS,WIPRO,GRASIM
2013-03-13,KOTAKBANK,INFY,TATASTEEL,WIPRO,ASIANPAINT
2013-03-14,SUNPHARMA,INFY,TATASTEEL,ASIANPAINT,ADANIPORTS
2013-03-15,HINDUNILVR,TATASTEEL,JSWSTEEL,INFY,HCLTECH
2013-03-18,TATASTEEL,WIPRO,TECHM,UPL,INFY
2013-03-19,TATASTEEL,BAJAJ-AUTO,INFY,HCLTECH,SUNPHARMA
2013-03-20,TECHM,SUNPHARMA,INFY,BAJAJ-AUTO,WIPRO
2013-03-21,JSWSTEEL,INFY,TITAN,TATASTEEL,BPCL
2013-03-22,JSWSTEEL,TATASTEEL,HCLTECH,MARUTI,ADANIPORTS
2013-03-25,JSWSTEEL,HCLTECH,ADANIPORTS,ASIANPAINT,WIPRO
2013-03-26,JSWSTEEL,BAJAJFINSV,MARUTI,HCLTECH,TATASTEEL
2013-03-28,BAJAJFINSV,JSWSTEEL,ASIANPAINT,HCLTECH,INFY
2013-04-01,HINDUNILVR,ASIANPAINT,BAJAJFINSV,TATASTEEL,INFY
2013-04-02,JSWSTEEL,HINDUNILVR,APOLLOHOSP,ASIANPAINT,INFY
2013-04-03,HDFC,TCS,INFY,APOLLOHOSP,TATASTEEL
2013-04-04,INFY,ASIANPAINT,ULTRACEMCO,POWERGRID,MARUTI
2013-04-05,BPCL,APOLLOHOSP,MARUTI,JSWSTEEL,TECHM
2013-04-08,TECHM,SUNPHARMA,HDFC,WIPRO,EICHERMOT
2013-04-09,HINDUNILVR,SUNPHARMA,WIPRO,HDFC,TECHM
2013-04-10,ASIANPAINT,ITC,AXISBANK,SUNPHARMA,TECHM
2013-04-11,BAJAJFINSV,HEROMOTOCO,WIPRO,BPCL,DRREDDY
2013-04-12,DIVISLAB,TITAN,SUNPHARMA,BAJAJFINSV,MARUTI
2013-04-15,HDFC,DIVISLAB,JSWSTEEL,DRREDDY,BRITANNIA
2013-04-16,ADANIPORTS,ICICIBANK,SUNPHARMA,KOTAKBANK,ULTRACEMCO
2013-04-17,APOLLOHOSP,ADANIPORTS,INDUSINDBK,TCS,DIVISLAB
2013-04-18,INDUSINDBK,ADANIPORTS,HINDUNILVR,NESTLEIND,HINDALCO
2013-04-22,UPL,HINDUNILVR,GRASIM,TATAMOTORS,HDFC
2013-04-23,HINDUNILVR,WIPRO,HCLTECH,TATAMOTORS,DRREDDY
2013-04-25,INDUSINDBK,DRREDDY,SBIN,TITAN,APOLLOHOSP
2013-04-26,INDUSINDBK,WIPRO,TATACONSUM,HEROMOTOCO,NTPC
2013-04-29,BHARTIARTL,WIPRO,TCS,EICHERMOT,TITAN
2013-04-30,INDUSINDBK,NTPC,DRREDDY,EICHERMOT,M&M
2013-05-02,SUNPHARMA,KOTAKBANK,NESTLEIND,DRREDDY,UPL
2013-05-03,HEROMOTOCO,CIPLA,LT,ITC,TATACONSUM
2013-05-06,BRITANNIA,DRREDDY,NTPC,INDUSINDBK,TITAN
2013-05-07,BHARTIARTL,ITC,POWERGRID,UPL,GRASIM
2013-05-08,AXISBANK,JSWSTEEL,HDFCBANK,SUNPHARMA,INFY
2013-05-09,SBIN,TATASTEEL,DRREDDY,JSWSTEEL,ADANIPORTS
2013-05-10,BPCL,TITAN,NTPC,ICICIBANK,ITC
2013-05-13,DIVISLAB,DRREDDY,HEROMOTOCO,ICICIBANK,POWERGRID
2013-05-14,NTPC,SBIN,POWERGRID,GRASIM,DIVISLAB
2013-05-15,KOTAKBANK,SBIN,NESTLEIND,HDFCBANK,TATACONSUM
2013-05-16,BRITANNIA,EICHERMOT,DRREDDY,INFY,SBIN
2013-05-17,KOTAKBANK,POWERGRID,ASIANPAINT,HINDALCO,UPL
2013-05-20,HDFC,POWERGRID,BRITANNIA,AXISBANK,NESTLEIND
2013-05-21,M&M,NESTLEIND,HDFCBANK,LT,SHREECEM
2013-05-22,BAJFINANCE,ICICIBANK,CIPLA,LT,ULTRACEMCO
2013-05-23,DIVISLAB,SBIN,M&M,TATASTEEL,ASIANPAINT
2013-05-24,HDFCBANK,BHARTIARTL,DIVISLAB,TATASTEEL,ASIANPAINT
2013-05-27,HDFCBANK,APOLLOHOSP,SHREECEM,KOTAKBANK,BHARTIARTL
2013-05-28,SBIN,SUNPHARMA,TATASTEEL,NTPC,ULTRACEMCO
2013-05-29,SBIN,ITC,JSWSTEEL,DRREDDY,NTPC
2013-05-30,UPL,NTPC,SBIN,KOTAKBANK,HDFC
2013-05-31,UPL,NTPC,POWERGRID,ONGC,HDFCBANK
2013-06-03,KOTAKBANK,NTPC,BAJAJFINSV,M&M,SBIN
2013-06-04,CIPLA,DIVISLAB,DRREDDY,NTPC,BAJAJFINSV
2013-06-05,KOTAKBANK,ULTRACEMCO,DIVISLAB,M&M,BRITANNIA
2013-06-06,LT,SHREECEM,HDFCBANK,BAJAJFINSV,AXISBANK
2013-06-07,TCS,M&M,BAJFINANCE,BHARTIARTL,DRREDDY
