2019-01-01,TATASTEEL,SUNPHARMA,BAJAJFINSV,TCS,HDFCBANK
2019-01-02,AXISBANK,TATASTEEL,ITC,TCS,M&M
2019-01-03,JSWSTEEL,BPCL,CIPLA,HINDALCO,LT
2019-01-04,ONGC,NESTLEIND,CIPLA,HINDUNILVR,SBIN
2019-01-07,BPCL,HINDUNILVR,TCS,TATACONSUM,HDFCBANK
2019-01-08,NESTLEIND,BAJAJ-AUTO,HINDALCO,GRASIM,BRITANNIA
2019-01-09,GRASIM,TCS,SHREECEM,AXISBANK,ONGC
2019-01-10,HDFCBANK,BHARTIARTL,WIPRO,ONGC,ULTRACEMCO
2019-01-11,ULTRACEMCO,M&M,APOLLOHOSP,TCS,ASIANPAINT
2019-01-14,TCS,JSWSTEEL,ONGC,CIPLA,BAJFINANCE
2019-01-15,JSWSTEEL,INDUSINDBK,APOLLOHOSP,ITC,TECHM
2019-01-16,BRITANNIA,RELIANCE,BPCL,ADANIPORTS,POWERGRID
2019-01-17,HINDALCO,SBIN,SUNPHARMA,EICHERMOT,HDFCBANK
2019-01-18,M&M,SBIN,TATAMOTORS,SUNPHARMA,HDFCBANK
2019-01-21,BPCL,EICHERMOT,ONGC,GRASIM,ULTRACEMCO
2019-01-22,BAJFINANCE,MARUTI,HINDALCO,TCS,HEROMOTOCO
2019-01-23,GRASIM,ONGC,DRREDDY,NESTLEIND,ASIANPAINT
2019-01-24,SUNPHARMA,TCS,SBIN,TATAMOTORS,ASIANPAINT
2019-01-25,GRASIM,TATACONSUM,NESTLEIND,ONGC,DIVISLAB
2019-01-28,HINDALCO,NESTLEIND,EICHERMOT,MARUTI,HDFC
2019-01-29,TATASTEEL,ADANIPORTS,CIPLA,BPCL,AXISBANK
2019-01-30,MARUTI,BPCL,BHARTIARTL,NESTLEIND,INDUSINDBK
2019-01-31,HINDUNILVR,EICHERMOT,NESTLEIND,HINDALCO,ULTRACEMCO
2019-02-01,BAJAJ-AUTO,MARUTI,UPL,HINDALCO,SUNPHARMA
2019-02-04,ONGC,TATAMOTORS,TCS,BAJAJ-AUTO,HEROMOTOCO
2019-02-05,HINDALCO,TATASTEEL,NESTLEIND,SUNPHARMA,BAJAJFINSV
2019-02-06,GRASIM,BAJAJ-AUTO,HINDALCO,M&M,KOTAKBANK
2019-02-07,HCLTECH,TCS,HINDUNILVR,GRASIM,APOLLOHOSP
2019-02-08,UPL,M&M,BPCL,INFY,SBIN
2019-02-11,TITAN,SUNPHARMA,BHARTIARTL,BPCL,INDUSINDBK
2019-02-12,HCLTECH,UPL,POWERGRID,BHARTIARTL,AXISBANK
2019-02-13,DIVISLAB,BAJAJFINSV,UPL,M&M,WIPRO
2019-02-14,TCS,ADANIPORTS,SUNPHARMA,EICHERMOT,ITC
2019-02-15,LT,TCS,JSWSTEEL,MARUTI,WIPRO
2019-02-18,EICHERMOT,TATAMOTORS,HINDUNILVR,M&M,INDUSINDBK
2019-02-19,BPCL,HINDALCO,ONGC,GRASIM,TECHM
2019-02-20,TATAMOTORS,EICHERMOT,ADANIPORTS,GRASIM,ULTRACEMCO
2019-02-21,TATAMOTORS,MARUTI,TECHM,EICHERMOT,KOTAKBANK
2019-02-22,TATAMOTORS,BPCL,TECHM,BHARTIARTL,HEROMOTOCO
2019-02-25,SUNPHARMA,ITC,TATAMOTORS,SHREECEM,ULTRACEMCO
2019-02-26,TCS,HINDALCO,HINDUNILVR,UPL,RELIANCE
2019-02-27,JSWSTEEL,APOLLOHOSP,GRASIM,EICHERMOT,ICICIBANK
2019-02-28,ADANIPORTS,HINDUNILVR,M&M,ITC,WIPRO
2019-03-01,ADANIPORTS,TCS,EICHERMOT,HINDALCO,BAJFINANCE
2019-03-05,TATACONSUM,BPCL,M&M,HINDUNILVR,ASIANPAINT
2019-03-06,AXISBANK,ICICIBANK,NESTLEIND,JSWSTEEL,TITAN
2019-03-07,GRASIM,ADANIPORTS,ICICIBANK,SBIN,POWERGRID
2019-03-08,ONGC,HDFC,DRREDDY,INFY,UPL
2019-03-11,DRREDDY,TATASTEEL,ADANIPORTS,M&M,KOTAKBANK
2019-03-12,SUNPHARMA,TCS,M&M,EICHERMOT,AXISBANK
2019-03-13,NTPC,WIPRO,BHARTIARTL,TCS,ASIANPAINT
2019-03-14,GRASIM,NTPC,HEROMOTOCO,M&M,WIPRO
2019-03-15,ADANIPORTS,TATACONSUM,HCLTECH,APOLLOHOSP,TATAMOTORS
2019-03-18,BAJAJFINSV,M&M,ONGC,BHARTIARTL,UPL
2019-03-19,ADANIPORTS,BAJFINANCE,EICHERMOT,HINDALCO,HDFCBANK
2019-03-20,NTPC,BHARTIARTL,MARUTI,EICHERMOT,GRASIM
2019-03-22,ONGC,DRREDDY,MARUTI,NTPC,TATASTEEL
2019-03-25,NTPC,JSWSTEEL,WIPRO,APOLLOHOSP,BAJAJ-AUTO
2019-03-26,M&M,APOLLOHOSP,TATACONSUM,TCS,BAJFINANCE
2019-03-27,POWERGRID,SHREECEM,MARUTI,GRASIM,BAJAJ-AUTO
2019-03-28,JSWSTEEL,TCS,M&M,SHREECEM,BAJAJ-AUTO
2019-03-29,APOLLOHOSP,ICICIBANK,ULTRACEMCO,HINDALCO,BAJAJ-AUTO
2019-04-01,APOLLOHOSP,GRASIM,TATACONSUM,ONGC,INFY
2019-04-02,EICHERMOT,MARUTI,BPCL,HINDALCO,NTPC
2019-04-03,ASIANPAINT,POWERGRID,TATASTEEL,TCS,ADANIPORTS
2019-04-04,HDFC,TECHM,BRITANNIA,TCS,INFY
2019-04-05,DIVISLAB,TATACONSUM,TECHM,BAJAJFINSV,ITC
2019-04-08,ADANIPORTS,DIVISLAB,BHARTIARTL,M&M,DRREDDY
2019-04-09,ITC,GRASIM,MARUTI,BAJAJFINSV,TITAN
2019-04-10,APOLLOHOSP,ICICIBANK,M&M,MARUTI,KOTAKBANK
2019-04-11,BHARTIARTL,M&M,MARUTI,HINDALCO,ITC
2019-04-12,DRREDDY,MARUTI,BAJAJFINSV,EICHERMOT,APOLLOHOSP
2019-04-15,BAJFINANCE,ASIANPAINT,HINDALCO,INFY,HDFCBANK
2019-04-16,UPL,TCS,M&M,EICHERMOT,ULTRACEMCO
2019-04-18,M&M,ICICIBANK,SBIN,MARUTI,DIVISLAB
2019-04-22,BRITANNIA,TITAN,GRASIM,MARUTI,DRREDDY
2019-04-23,TATASTEEL,BPCL,ICICIBANK,GRASIM,AXISBANK
2019-04-24,ICICIBANK,ONGC,TATACONSUM,BPCL,INFY
2019-04-25,HCLTECH,TITAN,HDFCBANK,BAJAJFINSV,SBIN
2019-04-26,BPCL,BAJAJFINSV,WIPRO,TATACONSUM,NESTLEIND
2019-04-30,BPCL,CIPLA,M&M,UPL,HDFC
2019-05-02,ASIANPAINT,WIPRO,INDUSINDBK,MARUTI,BAJAJ-AUTO
2019-05-03,APOLLOHOSP,TATASTEEL,BPCL,HINDUNILVR,ADANIPORTS
2019-05-06,ULTRACEMCO,ICICIBANK,TATACONSUM,NTPC,TECHM
2019-05-07,SUNPHARMA,NTPC,TCS,BHARTIARTL,BAJAJ-AUTO
2019-05-08,BPCL,JSWSTEEL,TATAMOTORS,BHARTIARTL,TECHM
2019-05-09,RELIANCE,SUNPHARMA,APOLLOHOSP,ICICIBANK,HCLTECH
2019-05-10,EICHERMOT,BAJAJFINSV,HDFCBANK,HINDALCO,ULTRACEMCO
2019-05-13,HINDALCO,GRASIM,APOLLOHOSP,HINDUNILVR,INFY
2019-05-14,SHREECEM,TCS,BPCL,MARUTI,TECHM
2019-05-15,HINDALCO,SHREECEM,ITC,HDFCBANK,CIPLA
2019-05-16,EICHERMOT,JSWSTEEL,BRITANNIA,TCS,DRREDDY
2019-05-17,BAJFINANCE,POWERGRID,SBIN,BHARTIARTL,WIPRO
2019-05-20,HEROMOTOCO,BAJAJ-AUTO,ICICIBANK,KOTAKBANK,ITC
2019-05-21,DIVISLAB,BPCL,SUNPHARMA,ASIANPAINT,TECHM
2019-05-22,MARUTI,APOLLOHOSP,HINDALCO,ADANIPORTS,INFY
2019-05-23,JSWSTEEL,TCS,HINDALCO,ITC,HDFCBANK
2019-05-24,BAJAJFINSV,EICHERMOT,GRASIM,SBIN,HCLTECH
2019-05-27,SBIN,UPL,TATAMOTORS,ADANIPORTS,INDUSINDBK
2019-05-28,KOTAKBANK,AXISBANK,TITAN,BAJFINANCE,WIPRO
2019-05-29,POWERGRID,HINDALCO,TCS,BHARTIARTL,WIPRO
2019-05-30,BRITANNIA,MARUTI,DIVISLAB,SUNPHARMA,ONGC
2019-05-31,M&M,SUNPHARMA,JSWSTEEL,EICHERMOT,SBIN
2019-06-03,EICHERMOT,APOLLOHOSP,HDFCBANK,JSWSTEEL,HEROMOTOCO
2019-06-04,HDFC,HCLTECH,TCS,SBIN,ICICIBANK
2019-06-06,BRITANNIA,TATACONSUM,HINDALCO,BAJFINANCE,CIPLA
2019-06-07,TITAN,EICHERMOT,UPL,NESTLEIND,CIPLA
2019-06-10,M&M,BAJFINANCE,ITC,EICHERMOT,ULTRACEMCO
2019-06-11,BAJAJFINSV,SHREECEM,INDUSINDBK,EICHERMOT,BAJAJ-AUTO
2019-06-12,ONGC,TECHM,TATASTEEL,TATACONSUM,HEROMOTOCO
2019-06-13,DIVISLAB,TATASTEEL,EICHERMOT,ITC,HDFCBANK
2019-06-14,GRASIM,HINDALCO,M&M,INFY,HDFC
2019-06-17,TATAMOTORS,BPCL,SUNPHARMA,TATACONSUM,POWERGRID
2019-06-18,EICHERMOT,TATACONSUM,ONGC,JSWSTEEL,NESTLEIND
2019-06-19,BHARTIARTL,BAJAJ-AUTO,ICICIBANK,POWERGRID,HDFCBANK
2019-06-20,POWERGRID,BAJAJFINSV,ICICIBANK,NESTLEIND,LT
2019-06-21,HINDALCO,SHREECEM,ONGC,BAJAJ-AUTO,INDUSINDBK
2019-06-24,ITC,TATACONSUM,TCS,JSWSTEEL,INDUSINDBK
2019-06-25,RELIANCE,M&M,ULTRACEMCO,HINDALCO,TATASTEEL
2019-06-26,M&M,RELIANCE,SBIN,MARUTI,HEROMOTOCO
2019-06-27,BRITANNIA,BAJAJFINSV,ULTRACEMCO,SBIN,UPL
2019-06-28,BAJAJFINSV,ICICIBANK,HINDALCO,ULTRACEMCO,INDUSINDBK
2019-07-01,SUNPHARMA,MARUTI,TATACONSUM,AXISBANK,KOTAKBANK
2019-07-02,RELIANCE,EICHERMOT,AXISBANK,DRREDDY,GRASIM
2019-07-03,EICHERMOT,ONGC,RELIANCE,M&M,BAJFINANCE
2019-07-04,HINDUNILVR,EICHERMOT,TITAN,HINDALCO,SBIN
2019-07-05,POWERGRID,M&M,HINDALCO,SUNPHARMA,TATASTEEL
2019-07-08,TATAMOTORS,EICHERMOT,BAJAJFINSV,ULTRACEMCO,LT
2019-07-09,BRITANNIA,ITC,TATASTEEL,HCLTECH,ONGC
2019-07-10,HINDALCO,JSWSTEEL,ULTRACEMCO,BAJAJFINSV,ICICIBANK
2019-07-11,CIPLA,POWERGRID,ITC,EICHERMOT,DRREDDY
2019-07-12,ADANIPORTS,JSWSTEEL,ITC,EICHERMOT,GRASIM
2019-07-15,ULTRACEMCO,BAJAJ-AUTO,HCLTECH,ITC,HEROMOTOCO
2019-07-16,JSWSTEEL,SUNPHARMA,HINDALCO,TATASTEEL,POWERGRID
