2018-01-01,HINDALCO,ONGC,BRITANNIA,MARUTI,POWERGRID
2018-01-02,WIPRO,SUNPHARMA,CIPLA,HINDUNILVR,EICHERMOT
2018-01-03,ONGC,TATACONSUM,TECHM,ULTRACEMCO,KOTAKBANK
2018-01-04,M&M,DIVISLAB,HINDUNILVR,LT,HEROMOTOCO
2018-01-05,ONGC,LT,HINDUNILVR,JSWSTEEL,HDFC
2018-01-08,TATAMOTORS,SUNPHARMA,ITC,SBIN,NESTLEIND
2018-01-09,TITAN,LT,SBIN,TECHM,MARUTI
2018-01-10,ULTRACEMCO,TITAN,SBIN,GRASIM,NESTLEIND
2018-01-11,HCLTECH,SBIN,TECHM,GRASIM,BAJAJ-AUTO
2018-01-12,ITC,SBIN,DIVISLAB,TECHM,ICICIBANK
2018-01-15,TITAN,JSWSTEEL,TCS,ICICIBANK,ONGC
2018-01-16,GRASIM,ICICIBANK,HDFCBANK,KOTAKBANK,CIPLA
2018-01-17,HCLTECH,TATASTEEL,INDUSINDBK,WIPRO,ONGC
2018-01-18,HEROMOTOCO,TATASTEEL,HDFC,INDUSINDBK,CIPLA
2018-01-19,ICICIBANK,KOTAKBANK,HDFCBANK,INFY,UPL
2018-01-22,AXISBANK,RELIANCE,ULTRACEMCO,ICICIBANK,BPCL
2018-01-23,TECHM,INDUSINDBK,AXISBANK,LT,CIPLA
2018-01-24,TECHM,ONGC,AXISBANK,HCLTECH,GRASIM
2018-01-25,INDUSINDBK,HDFCBANK,TATASTEEL,HCLTECH,UPL
2018-01-29,HDFCBANK,HINDUNILVR,TECHM,HCLTECH,INDUSINDBK
2018-01-30,HCLTECH,KOTAKBANK,LT,TATASTEEL,SBIN
2018-01-31,BHARTIARTL,TATASTEEL,EICHERMOT,LT,NTPC
2018-02-01,JSWSTEEL,HDFCBANK,LT,SHREECEM,NESTLEIND
2018-02-02,LT,APOLLOHOSP,KOTAKBANK,BAJAJ-AUTO,UPL
2018-02-05,BPCL,TATACONSUM,RELIANCE,DRREDDY,BRITANNIA
2018-02-06,GRASIM,BAJAJFINSV,NTPC,HDFCBANK,NESTLEIND
2018-02-07,M&M,NTPC,MARUTI,BAJFINANCE,DIVISLAB
2018-02-08,NTPC,TCS,M&M,ITC,TATAMOTORS
2018-02-09,ITC,DRREDDY,CIPLA,TATACONSUM,RELIANCE
2018-02-12,JSWSTEEL,ONGC,TATAMOTORS,BRITANNIA,APOLLOHOSP
2018-02-14,JSWSTEEL,BRITANNIA,TITAN,BAJFINANCE,HCLTECH
2018-02-15,EICHERMOT,BPCL,HDFCBANK,TECHM,SHREECEM
2018-02-16,BAJAJFINSV,HINDUNILVR,ADANIPORTS,SBIN,HEROMOTOCO
2018-02-19,ICICIBANK,JSWSTEEL,DRREDDY,BAJFINANCE,POWERGRID
2018-02-20,BAJFINANCE,NTPC,TATAMOTORS,CIPLA,UPL
2018-02-21,BRITANNIA,RELIANCE,TATASTEEL,HINDUNILVR,SUNPHARMA
2018-02-22,ULTRACEMCO,GRASIM,TECHM,NTPC,HDFCBANK
2018-02-23,SUNPHARMA,TECHM,WIPRO,APOLLOHOSP,HEROMOTOCO
2018-02-26,BHARTIARTL,RELIANCE,BPCL,GRASIM,INDUSINDBK
2018-02-27,ITC,HINDALCO,HINDUNILVR,M&M,AXISBANK
2018-02-28,WIPRO,ULTRACEMCO,SBIN,CIPLA,LT
